id_cliente,horas_consumo_mensual,gasto_mensual,cantidad_contenidos_vistos,sesiones_semana,porcentaje_finalizacion,tiempo_promedio_sesion_min,cantidad_generos_consumidos,porcentaje_uso_promociones,antiguedad_cliente_meses,edad,dispositivos_registrados,porcentaje_uso_app_movil,cantidad_perfiles_creados,interacciones_mensuales_soporte,distancia_promedio_red_km,cluster,pc1,pc2
1001,49,76,3,6,49,56,4,0.7855112476775208,28,52.0,2,0.29,5,3,34.1,1,-2.2354682917441338,-1.0491865139855974
1002,59,396,26,8,88,211,14,0.0156912762684531,76,69.0,3,0.47,5,4,2.4,2,3.516336568330286,-1.6240096578283583
1003,43,91,9,3,62,5,2,0.7491282365758885,15,51.0,1,0.78,1,7,63.6,1,-2.5600748530790094,-0.966902038043246
1004,51,77,8,4,62,5,4,0.5100177544559401,5,58.0,2,0.27,3,6,6.5,1,-2.127862034345064,-1.757800041288949
1005,36,212,74,7,51,85,5,0.4031384441857476,48,68.0,5,0.75,4,0,38.5,0,-0.2521662492243202,1.5294660756329985
1006,28,188,66,21,69,169,8,0.3814631437520095,31,64.0,1,0.88,1,4,45.3,0,0.8466628892344258,2.461418827652383
1007,30,295,40,11,75,92,8,0.2735406596951892,42,35.0,2,0.51,3,6,50.6,0,0.9014855483280586,0.5987095595375426
1008,39,495,14,4,71,299,14,0.1251719831428472,97,28.0,2,0.84,4,6,55.4,2,4.077146757352833,-1.4406001468957066
1009,49,30,5,4,13,20,4,0.7663349627364544,2,40.0,3,0.6,2,7,21.0,1,-3.345825733100707,-1.8325520925444099
1010,45,61,12,1,44,37,1,0.6867225060416018,11,65.0,3,0.67,3,3,1.8,1,-2.9678588934185415,-1.3686925224456847
1011,19,131,22,5,72,99,4,0.1826737439506981,48,39.0,5,0.57,5,6,58.2,0,-0.33355147599981333,0.33253721323596336
1012,42,261,23,2,98,154,11,0.0142377296920457,47,34.0,2,0.52,1,7,43.3,2,2.24095273588457,-1.4548505517701569
1013,58,339,39,2,88,224,11,0.0236329655243312,92,22.0,2,0.31,3,6,67.1,2,3.712157665243514,-1.5459714739416748
1014,32,194,48,8,64,80,7,0.2128138290285226,29,61.0,3,0.37,3,0,65.9,0,-0.06445849258978942,1.269905967874036
1015,19,271,54,21,74,171,6,0.2488072343171132,58,28.0,1,0.36,5,0,67.6,0,1.5147462811012729,2.987664700398089
1016,38,270,51,9,51,172,9,0.400348427116599,44,47.0,1,0.61,4,5,39.3,0,0.9231871569046394,0.37072688307543866
1017,17,224,49,21,88,121,6,0.4305829864430966,41,32.0,4,0.21,2,4,27.4,0,0.6178884245498134,2.151778313817438
1018,30,88,19,0,45,16,1,0.7432291858515583,12,44.0,3,0.93,5,2,63.5,1,-3.114989684133941,0.12651794084132037
1019,26,100,14,6,61,87,2,0.5791023273018796,21,52.0,4,0.75,2,7,36.7,1,-1.939889862416661,-0.2921646003504042
1020,19,218,31,24,60,159,7,0.4166316174903394,58,50.0,3,0.46,4,1,15.5,0,0.5741482994552668,2.1098568485431852
1021,31,34,3,6,38,79,2,0.781191166384481,9,37.0,5,0.24,3,7,68.5,1,-3.1359340805825617,-0.5413958778960477
1022,24,264,57,11,85,72,4,0.2586606407817007,46,33.0,2,0.89,2,2,70.7,0,0.6439260073995727,1.9651468092311357
1023,40,124,48,9,77,142,7,0.2482568588267563,36,51.0,5,0.84,1,4,37.8,0,0.5615553760963942,0.32781658214517256
1024,24,118,13,3,45,74,4,0.2501004300192013,29,19.0,3,0.75,1,1,7.0,1,-1.0137925799681957,-0.5563494431658813
1025,44,103,19,6,12,49,1,0.4431212520688503,26,52.0,2,0.34,5,2,31.6,1,-2.4459512732695368,-0.518955967285878
1026,49,566,18,7,70,250,13,0.0749741159047408,88,57.0,1,0.46,4,5,64.5,2,3.7803923397673698,-1.245841344370584
1027,39,175,52,10,92,65,4,0.1048617898759265,51,45.0,1,0.19,5,1,72.2,0,0.7556765529769462,1.374829606253486
1028,38,109,11,3,46,40,3,0.6172466738639886,25,64.0,4,0.27,5,0,17.1,1,-2.414595209647699,-0.5855705375052535
1029,35,76,9,0,23,19,3,0.7974988250176225,22,56.0,3,0.8,5,2,6.3,1,-3.261031250309529,-0.9496331964882055
1030,36,122,35,15,51,133,8,0.2822627011142852,47,23.0,3,0.74,1,7,70.3,0,0.5278851737003085,0.5723813133504165
1031,25,65,8,1,69,54,4,0.2466407821789909,9,26.0,1,0.63,1,1,31.8,1,-1.2860030458415117,-0.47628929675269993
1032,18,274,73,21,48,92,7,0.4255180078827795,47,37.0,5,0.91,5,5,43.8,0,0.34744957887637185,2.9494499926526694
1033,30,276,32,18,74,65,4,0.2666556230953917,24,18.0,2,0.62,1,7,77.5,0,0.16381126230497028,1.1228656667032935
1034,54,259,33,2,96,228,9,0.0052733948994504,72,25.0,5,0.52,4,6,6.3,2,2.965803077513142,-1.9901607462070503
1035,30,395,24,1,80,204,14,0.0761781713262043,61,40.0,5,0.41,5,1,52.2,2,2.61168399046798,-0.4803314167770014
1036,56,426,22,1,71,224,7,0.0267704237601266,60,20.0,1,0.95,1,1,6.9,2,2.741246442238585,-2.165902809545137
1037,30,174,25,21,44,154,7,0.4986547348295621,42,21.0,1,0.17,2,5,30.7,0,0.1136600102705465,0.8253537718691409
1038,19,172,56,14,49,142,3,0.1964339329318527,28,42.0,1,0.94,5,6,64.5,0,-0.15544066208912014,2.0910282495218873
1039,18,80,13,4,13,66,1,0.6030204106435141,2,64.0,4,0.84,5,2,35.2,1,-3.5888683298587405,0.4104465641693203
1040,45,101,7,1,67,38,2,0.6633910350413836,27,55.0,5,0.22,4,3,79.8,1,-2.3052144504839496,-0.8250061566273877
1041,32,131,20,16,44,153,8,0.4167271357878531,36,32.0,3,0.61,3,2,45.2,0,-0.12733445226516277,0.7330086210443587
1042,40,108,5,4,23,70,3,0.3277784969053464,6,38.0,2,0.88,3,6,26.4,1,-2.0424783278672747,-1.3890484416543083
1043,42,157,69,6,57,89,9,0.2749899688094916,53,52.0,4,0.61,4,4,18.4,0,0.6613742682160436,0.41946913728073926
1044,62,584,37,7,79,170,5,0.1899041247315284,43,63.0,3,0.92,4,7,28.7,2,2.0283916556158736,-1.5227975553224613
1045,24,264,29,21,59,147,7,0.4920130301141908,21,69.0,5,0.95,4,5,30.4,0,-0.3190259042778022,1.5171463177429543
1046,30,72,16,2,60,27,3,0.5508596635694922,11,31.0,1,0.48,3,2,6.4,1,-2.064355390946636,-0.5591601466012069
1047,36,263,27,8,79,63,3,0.4587153639624047,22,53.0,5,0.44,4,1,30.2,1,-0.8592004916496463,0.22223397930231803
1048,44,61,18,4,67,55,3,0.6930743821066696,18,29.0,2,0.94,1,5,37.7,1,-1.7400144061386165,-0.8832352084366
1049,45,71,6,0,14,16,2,0.7365303577375555,17,34.0,4,0.71,5,0,58.1,1,-3.3714113175042453,-0.8875292402457692
1050,28,164,46,13,65,106,3,0.3751138868384333,49,56.0,4,0.2,5,6,52.9,0,-0.40594250288260636,1.2465570137000526
1051,46,275,13,1,77,232,7,0.0369042038712754,54,26.0,2,0.14,2,7,57.0,2,1.9173263147454784,-1.9953458254215009
1052,51,263,35,7,83,249,14,0.0073366405781195,95,52.0,3,0.61,2,2,1.7,2,3.7811352597860672,-1.1299479508647805
1053,36,252,24,7,83,226,6,0.0894824733646909,74,30.0,3,0.94,5,5,18.2,2,2.1288739475409524,-0.6365060931203476
1054,44,441,34,7,74,147,14,0.1127930184037672,56,32.0,4,0.86,1,7,53.3,2,2.779881261066785,-0.9067177932002002
1055,39,119,12,0,26,17,4,0.4843819648583337,10,35.0,4,0.71,3,2,39.2,1,-2.4594883232873817,-1.0248390631726192
1056,32,482,22,2,84,230,10,0.1173682236041758,47,68.0,1,0.23,3,5,1.4,2,2.3516274824922667,-1.3648491435954782
1057,22,232,63,23,81,100,7,0.245232918559454,45,50.0,3,0.33,1,1,64.6,0,1.012512759383653,3.1230942087154503
1058,16,178,64,10,76,92,7,0.1407129890481615,25,23.0,2,0.89,3,0,62.1,0,0.6190144676767777,2.463169578632839
1059,20,231,23,15,69,154,9,0.4369256141192726,22,44.0,3,0.26,4,0,44.3,0,0.1087855248536214,1.41489226565566
1060,33,150,59,9,75,83,9,0.4586441051896083,39,40.0,1,0.35,5,4,6.3,0,0.39902571809159526,0.7943320364679042
1061,45,104,4,6,15,55,2,0.7576255934765517,15,44.0,4,0.22,5,5,61.6,1,-3.1734005747575185,-0.9406187249405257
1062,25,255,45,23,84,103,7,0.1748174994230093,23,51.0,4,0.71,1,2,47.1,0,0.7838738849278174,2.3068903679948374
1063,48,461,10,4,86,259,5,0.1221240084883265,77,63.0,1,0.95,3,0,62.8,2,2.5213031679245668,-0.9670363432331651
1064,54,40,4,4,52,7,1,0.4215382889059377,24,55.0,2,0.34,2,6,60.4,1,-2.2757515548727993,-1.5010761377387287
1065,24,124,42,14,83,61,7,0.3738286191519333,39,31.0,4,0.53,2,0,64.4,0,0.013670823665820054,1.9574502278914487
1066,18,92,5,0,26,13,3,0.4838997206311354,6,53.0,5,0.67,3,3,41.9,1,-3.2307057838492432,-0.3219790711579079
1067,37,282,49,21,44,121,6,0.486010764266605,33,25.0,4,1.0,2,3,12.1,0,0.24722207341193708,1.2324790128184888
1068,40,386,11,3,72,120,12,0.1443193101502554,99,52.0,5,0.19,1,0,54.0,2,2.245037305331881,-1.0406626610309857
1069,43,191,30,13,76,73,6,0.1654623771462818,40,36.0,1,0.55,1,5,50.0,0,0.6317893309311075,0.09145396657071188
